model_id,prompt_id,task_type,check_type,run_id,result,key_en,key_de,key_tr
gemma3:1b,12,reasoning,reasoning,1,mismatch,A,B,B
gemma3:1b,12,reasoning,reasoning,2,mismatch,A,B,B
gemma3:1b,13,factual,factual,1,match,H2O,H2O,H2O
gemma3:1b,13,factual,factual,2,match,H2O,H2O,H2O
gemma3:1b,14,factual,factual,1,match,1945,1945,1945
gemma3:1b,14,factual,factual,2,match,1945,1945,1945
gemma3:1b,15,factual,factual,1,match,Ottawa,Ottawa,Ottawa
gemma3:1b,15,factual,factual,2,match,Ottawa,Ottawa,Ottawa
gemma3:1b,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
gemma3:1b,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
llama3.2:1b,5,classification,classification,1,mismatch,negative,positive,positive
llama3.2:1b,5,classification,classification,2,mismatch,negative,positive,positive
llama3.2:1b,6,classification,classification,1,mismatch,disagree,agree,agree
llama3.2:1b,6,classification,classification,2,mismatch,disagree,disagree,agree
llama3.2:1b,7,classification,classification,1,mismatch,request,complaint,request
llama3.2:1b,7,classification,classification,2,mismatch,request,complaint,request
llama3.2:1b,8,classification,classification,1,mismatch,informal,formal,informal
llama3.2:1b,8,classification,classification,2,match,informal,informal,informal
llama3.2:1b,9,reasoning,reasoning,1,match,A,A,A
llama3.2:1b,9,reasoning,reasoning,2,match,A,A,A
llama3.2:1b,10,reasoning,reasoning,1,mismatch,62,55,90
llama3.2:1b,10,reasoning,reasoning,2,mismatch,62,175,90
llama3.2:1b,11,reasoning,reasoning,1,mismatch,1,1,9
llama3.2:1b,11,reasoning,reasoning,2,mismatch,1,1,9
llama3.2:1b,12,reasoning,reasoning,1,match,A,A,A
llama3.2:1b,12,reasoning,reasoning,2,match,A,A,A
llama3.2:1b,13,factual,factual,1,match,H2O,H2O,H2O
llama3.2:1b,13,factual,factual,2,match,H2O,H2O,H2O
llama3.2:1b,14,factual,factual,1,match,1945,1945,1945
llama3.2:1b,14,factual,factual,2,match,1945,1945,1945
llama3.2:1b,15,factual,factual,1,match,Ottawa,Ottawa,
llama3.2:1b,15,factual,factual,2,match,Ottawa,Ottawa,Ottawa
llama3.2:1b,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
llama3.2:1b,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
phi3:latest,5,classification,classification,1,match,negative,negative,negative
phi3:latest,5,classification,classification,2,match,negative,negative,negative
phi3:latest,6,classification,classification,1,match,disagree,disagree,disagree
phi3:latest,6,classification,classification,2,mismatch,disagree,disagree,agree
phi3:latest,7,classification,classification,1,match,complaint,complaint,
phi3:latest,7,classification,classification,2,mismatch,complaint,complaint,request
phi3:latest,8,classification,classification,1,mismatch,informal,informal,formal
phi3:latest,8,classification,classification,2,mismatch,informal,formal,formal
phi3:latest,9,reasoning,reasoning,1,mismatch,A,A,C
phi3:latest,9,reasoning,reasoning,2,mismatch,A,A,C
phi3:latest,10,reasoning,reasoning,1,mismatch,60,60,150
phi3:latest,10,reasoning,reasoning,2,match,60,60,60
phi3:latest,11,reasoning,reasoning,1,mismatch,70,75,9
phi3:latest,11,reasoning,reasoning,2,mismatch,78,75,9
phi3:latest,12,reasoning,reasoning,1,mismatch,B,B,A
phi3:latest,12,reasoning,reasoning,2,mismatch,B,B,A
phi3:latest,13,factual,factual,1,match,H2O,H2O,
phi3:latest,13,factual,factual,2,match,H2O,H2O,H2O
phi3:latest,14,factual,factual,1,mismatch,1945,1945,1918
phi3:latest,14,factual,factual,2,mismatch,1945,1945,1918
phi3:latest,15,factual,factual,1,match,Ottawa,Ottawa,Ottawa
phi3:latest,15,factual,factual,2,match,Ottawa,Ottawa,
phi3:latest,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
phi3:latest,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
phi4-mini:3.8b,5,classification,classification,1,match,negative,negative,negative
phi4-mini:3.8b,5,classification,classification,2,match,negative,negative,negative
phi4-mini:3.8b,6,classification,classification,1,match,disagree,disagree,disagree
phi4-mini:3.8b,6,classification,classification,2,match,disagree,disagree,disagree
phi4-mini:3.8b,7,classification,classification,1,match,complaint,complaint,complaint
phi4-mini:3.8b,7,classification,classification,2,match,complaint,complaint,complaint
phi4-mini:3.8b,8,classification,classification,1,mismatch,informal,informal,formal
phi4-mini:3.8b,8,classification,classification,2,mismatch,informal,informal,formal
phi4-mini:3.8b,9,reasoning,reasoning,1,mismatch,A,A,C
phi4-mini:3.8b,9,reasoning,reasoning,2,mismatch,A,A,C
phi4-mini:3.8b,10,reasoning,reasoning,1,match,60,60,60
phi4-mini:3.8b,10,reasoning,reasoning,2,match,60,60,60
phi4-mini:3.8b,11,reasoning,reasoning,1,mismatch,210,90,150
phi4-mini:3.8b,11,reasoning,reasoning,2,match,90,90,90
phi4-mini:3.8b,12,reasoning,reasoning,1,mismatch,B,B,A
phi4-mini:3.8b,12,reasoning,reasoning,2,mismatch,B,B,A
phi4-mini:3.8b,13,factual,factual,1,match,H2O,H2O,H2O
phi4-mini:3.8b,13,factual,factual,2,match,H2O,H2O,H2O
phi4-mini:3.8b,14,factual,factual,1,match,1945,1945,1945
phi4-mini:3.8b,14,factual,factual,2,match,1945,1945,1945
phi4-mini:3.8b,15,factual,factual,1,match,Ottawa,Ottawa,Ottawa
phi4-mini:3.8b,15,factual,factual,2,match,Ottawa,Ottawa,Ottawa
phi4-mini:3.8b,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
phi4-mini:3.8b,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
llama3.2:3b,5,classification,classification,1,mismatch,negative,negative,positive
llama3.2:3b,5,classification,classification,2,mismatch,negative,negative,positive
llama3.2:3b,6,classification,classification,1,match,disagree,disagree,disagree
llama3.2:3b,6,classification,classification,2,match,disagree,disagree,disagree
llama3.2:3b,7,classification,classification,1,mismatch,complaint,complaint,request
llama3.2:3b,7,classification,classification,2,mismatch,complaint,complaint,request
llama3.2:3b,8,classification,classification,1,mismatch,informal,informal,formal
llama3.2:3b,8,classification,classification,2,mismatch,informal,formal,formal
llama3.2:3b,9,reasoning,reasoning,1,mismatch,A,A,C
llama3.2:3b,9,reasoning,reasoning,2,mismatch,A,A,C
llama3.2:3b,10,reasoning,reasoning,1,mismatch,60,60,90
llama3.2:3b,10,reasoning,reasoning,2,match,60,60,60
llama3.2:3b,11,reasoning,reasoning,1,mismatch,61,60,1
llama3.2:3b,11,reasoning,reasoning,2,mismatch,61,41,1
llama3.2:3b,12,reasoning,reasoning,1,mismatch,B,A,C
llama3.2:3b,12,reasoning,reasoning,2,match,B,B,B
llama3.2:3b,13,factual,factual,1,match,H2O,H2O,H2O
llama3.2:3b,13,factual,factual,2,match,H2O,H2O,H2O
llama3.2:3b,14,factual,factual,1,match,1945,1945,1945
llama3.2:3b,14,factual,factual,2,match,1945,1945,1945
llama3.2:3b,15,factual,factual,1,match,Ottawa,Ottawa,Ottawa
llama3.2:3b,15,factual,factual,2,match,Ottawa,Ottawa,Ottawa
llama3.2:3b,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
llama3.2:3b,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
