model_id,prompt_id,task_type,language,stability_type,run_id_a,run_id_b,stability_value
phi3:latest,19,creative,TR,open_text_cosine,1,2,0.5358181595802307
phi3:latest,20,creative,EN,open_text_cosine,1,2,0.6818360686302185
phi3:latest,20,creative,DE,open_text_cosine,1,2,0.7732844948768616
phi3:latest,20,creative,TR,open_text_cosine,1,2,0.5507771968841553
phi4-mini:3.8b,1,summarization,EN,open_text_cosine,1,2,0.9052093029022216
phi4-mini:3.8b,1,summarization,DE,open_text_cosine,1,2,0.8945679664611816
phi4-mini:3.8b,1,summarization,TR,open_text_cosine,1,2,0.8053621053695679
phi4-mini:3.8b,2,summarization,EN,open_text_cosine,1,2,0.9528777599334716
phi4-mini:3.8b,2,summarization,DE,open_text_cosine,1,2,0.8170652389526367
phi4-mini:3.8b,2,summarization,TR,open_text_cosine,1,2,0.9796000719070436
phi4-mini:3.8b,3,summarization,EN,open_text_cosine,1,2,0.8730360269546509
phi4-mini:3.8b,3,summarization,DE,open_text_cosine,1,2,0.8831671476364136
phi4-mini:3.8b,3,summarization,TR,open_text_cosine,1,2,0.9100467562675476
phi4-mini:3.8b,4,summarization,EN,open_text_cosine,1,2,0.9396549463272096
phi4-mini:3.8b,4,summarization,DE,open_text_cosine,1,2,0.9222291707992554
phi4-mini:3.8b,4,summarization,TR,open_text_cosine,1,2,0.9156730771064758
phi4-mini:3.8b,17,creative,EN,open_text_cosine,1,2,0.946073055267334
phi4-mini:3.8b,17,creative,DE,open_text_cosine,1,2,0.8659305572509766
phi4-mini:3.8b,17,creative,TR,open_text_cosine,1,2,0.77962327003479
phi4-mini:3.8b,18,creative,EN,open_text_cosine,1,2,0.8615455031394958
phi4-mini:3.8b,18,creative,DE,open_text_cosine,1,2,0.8007470369338989
phi4-mini:3.8b,18,creative,TR,open_text_cosine,1,2,0.7394648194313049
phi4-mini:3.8b,19,creative,EN,open_text_cosine,1,2,0.9474462866783142
phi4-mini:3.8b,19,creative,DE,open_text_cosine,1,2,0.9219762086868286
phi4-mini:3.8b,19,creative,TR,open_text_cosine,1,2,0.6406272649765015
phi4-mini:3.8b,20,creative,EN,open_text_cosine,1,2,0.8450428247451782
phi4-mini:3.8b,20,creative,DE,open_text_cosine,1,2,0.7109192609786987
phi4-mini:3.8b,20,creative,TR,open_text_cosine,1,2,0.7998321056365967
gemma3:4b,5,classification,EN,discrete_match,1,2,1.0
gemma3:4b,5,classification,DE,discrete_match,1,2,1.0
gemma3:4b,5,classification,TR,discrete_match,1,2,1.0
gemma3:4b,6,classification,EN,discrete_match,1,2,1.0
gemma3:4b,6,classification,DE,discrete_match,1,2,1.0
gemma3:4b,6,classification,TR,discrete_match,1,2,1.0
gemma3:4b,7,classification,EN,discrete_match,1,2,1.0
gemma3:4b,7,classification,DE,discrete_match,1,2,1.0
gemma3:4b,7,classification,TR,discrete_match,1,2,1.0
gemma3:4b,8,classification,EN,discrete_match,1,2,1.0
gemma3:4b,8,classification,DE,discrete_match,1,2,1.0
gemma3:4b,8,classification,TR,discrete_match,1,2,1.0
gemma3:4b,9,reasoning,EN,discrete_match,1,2,1.0
gemma3:4b,9,reasoning,DE,discrete_match,1,2,1.0
gemma3:4b,9,reasoning,TR,discrete_match,1,2,1.0
gemma3:4b,10,reasoning,EN,discrete_match,1,2,1.0
gemma3:4b,10,reasoning,DE,discrete_match,1,2,1.0
gemma3:4b,10,reasoning,TR,discrete_match,1,2,1.0
gemma3:4b,11,reasoning,EN,discrete_match,1,2,1.0
gemma3:4b,11,reasoning,DE,discrete_match,1,2,1.0
gemma3:4b,11,reasoning,TR,discrete_match,1,2,1.0
gemma3:4b,12,reasoning,EN,discrete_match,1,2,1.0
gemma3:4b,12,reasoning,DE,discrete_match,1,2,1.0
gemma3:4b,12,reasoning,TR,discrete_match,1,2,1.0
gemma3:4b,13,factual,EN,discrete_match,1,2,1.0
gemma3:4b,13,factual,DE,discrete_match,1,2,1.0
gemma3:4b,13,factual,TR,discrete_match,1,2,1.0
gemma3:4b,14,factual,EN,discrete_match,1,2,1.0
gemma3:4b,14,factual,DE,discrete_match,1,2,1.0
gemma3:4b,14,factual,TR,discrete_match,1,2,1.0
gemma3:4b,15,factual,EN,discrete_match,1,2,1.0
gemma3:4b,15,factual,DE,discrete_match,1,2,1.0
gemma3:4b,15,factual,TR,discrete_match,1,2,1.0
gemma3:4b,16,factual,EN,discrete_match,1,2,1.0
gemma3:4b,16,factual,DE,discrete_match,1,2,1.0
gemma3:4b,16,factual,TR,discrete_match,1,2,1.0
gemma3:1b,5,classification,EN,discrete_match,1,2,1.0
gemma3:1b,5,classification,DE,discrete_match,1,2,1.0
gemma3:1b,5,classification,TR,discrete_match,1,2,1.0
gemma3:1b,6,classification,EN,discrete_match,1,2,1.0
gemma3:1b,6,classification,DE,discrete_match,1,2,1.0
gemma3:1b,6,classification,TR,discrete_match,1,2,1.0
gemma3:1b,7,classification,EN,discrete_match,1,2,1.0
gemma3:1b,7,classification,DE,discrete_match,1,2,1.0
gemma3:1b,7,classification,TR,discrete_match,1,2,1.0
gemma3:1b,8,classification,EN,discrete_match,1,2,1.0
gemma3:1b,8,classification,DE,discrete_match,1,2,1.0
gemma3:1b,8,classification,TR,discrete_match,1,2,1.0
gemma3:1b,9,reasoning,EN,discrete_match,1,2,1.0
gemma3:1b,9,reasoning,DE,discrete_match,1,2,1.0
gemma3:1b,9,reasoning,TR,discrete_match,1,2,1.0
gemma3:1b,10,reasoning,EN,discrete_match,1,2,1.0
gemma3:1b,10,reasoning,DE,discrete_match,1,2,1.0
gemma3:1b,10,reasoning,TR,discrete_match,1,2,0.0
gemma3:1b,11,reasoning,EN,discrete_match,1,2,1.0
gemma3:1b,11,reasoning,DE,discrete_match,1,2,0.0
gemma3:1b,11,reasoning,TR,discrete_match,1,2,0.0
gemma3:1b,12,reasoning,EN,discrete_match,1,2,1.0
gemma3:1b,12,reasoning,DE,discrete_match,1,2,1.0
gemma3:1b,12,reasoning,TR,discrete_match,1,2,1.0
gemma3:1b,13,factual,EN,discrete_match,1,2,1.0
gemma3:1b,13,factual,DE,discrete_match,1,2,1.0
gemma3:1b,13,factual,TR,discrete_match,1,2,1.0
gemma3:1b,14,factual,EN,discrete_match,1,2,1.0
gemma3:1b,14,factual,DE,discrete_match,1,2,1.0
gemma3:1b,14,factual,TR,discrete_match,1,2,1.0
gemma3:1b,15,factual,EN,discrete_match,1,2,1.0
gemma3:1b,15,factual,DE,discrete_match,1,2,1.0
gemma3:1b,15,factual,TR,discrete_match,1,2,1.0
gemma3:1b,16,factual,EN,discrete_match,1,2,1.0
gemma3:1b,16,factual,DE,discrete_match,1,2,1.0
gemma3:1b,16,factual,TR,discrete_match,1,2,1.0
llama3.2:1b,5,classification,EN,discrete_match,1,2,1.0
llama3.2:1b,5,classification,DE,discrete_match,1,2,1.0
llama3.2:1b,5,classification,TR,discrete_match,1,2,1.0
llama3.2:1b,6,classification,EN,discrete_match,1,2,1.0
llama3.2:1b,6,classification,DE,discrete_match,1,2,0.0
llama3.2:1b,6,classification,TR,discrete_match,1,2,1.0
llama3.2:1b,7,classification,EN,discrete_match,1,2,1.0
llama3.2:1b,7,classification,DE,discrete_match,1,2,1.0
llama3.2:1b,7,classification,TR,discrete_match,1,2,1.0
llama3.2:1b,8,classification,EN,discrete_match,1,2,1.0
llama3.2:1b,8,classification,DE,discrete_match,1,2,0.0
llama3.2:1b,8,classification,TR,discrete_match,1,2,1.0
llama3.2:1b,9,reasoning,EN,discrete_match,1,2,1.0
llama3.2:1b,9,reasoning,DE,discrete_match,1,2,1.0
llama3.2:1b,9,reasoning,TR,discrete_match,1,2,1.0
llama3.2:1b,10,reasoning,EN,discrete_match,1,2,1.0
llama3.2:1b,10,reasoning,DE,discrete_match,1,2,0.0
llama3.2:1b,10,reasoning,TR,discrete_match,1,2,1.0
llama3.2:1b,11,reasoning,EN,discrete_match,1,2,1.0
llama3.2:1b,11,reasoning,DE,discrete_match,1,2,1.0
llama3.2:1b,11,reasoning,TR,discrete_match,1,2,1.0
llama3.2:1b,12,reasoning,EN,discrete_match,1,2,1.0
llama3.2:1b,12,reasoning,DE,discrete_match,1,2,1.0
llama3.2:1b,12,reasoning,TR,discrete_match,1,2,1.0
llama3.2:1b,13,factual,EN,discrete_match,1,2,1.0
llama3.2:1b,13,factual,DE,discrete_match,1,2,1.0
llama3.2:1b,13,factual,TR,discrete_match,1,2,1.0
llama3.2:1b,14,factual,EN,discrete_match,1,2,1.0
llama3.2:1b,14,factual,DE,discrete_match,1,2,1.0
llama3.2:1b,14,factual,TR,discrete_match,1,2,1.0
llama3.2:1b,15,factual,EN,discrete_match,1,2,1.0
llama3.2:1b,15,factual,DE,discrete_match,1,2,1.0
llama3.2:1b,16,factual,EN,discrete_match,1,2,1.0
llama3.2:1b,16,factual,DE,discrete_match,1,2,1.0
llama3.2:1b,16,factual,TR,discrete_match,1,2,1.0
phi3:latest,5,classification,EN,discrete_match,1,2,1.0
phi3:latest,5,classification,DE,discrete_match,1,2,1.0
phi3:latest,5,classification,TR,discrete_match,1,2,1.0
phi3:latest,6,classification,EN,discrete_match,1,2,1.0
phi3:latest,6,classification,DE,discrete_match,1,2,1.0
phi3:latest,6,classification,TR,discrete_match,1,2,0.0
phi3:latest,7,classification,EN,discrete_match,1,2,1.0
phi3:latest,7,classification,DE,discrete_match,1,2,1.0
phi3:latest,8,classification,EN,discrete_match,1,2,1.0
phi3:latest,8,classification,DE,discrete_match,1,2,0.0
phi3:latest,8,classification,TR,discrete_match,1,2,1.0
phi3:latest,9,reasoning,EN,discrete_match,1,2,1.0
phi3:latest,9,reasoning,DE,discrete_match,1,2,1.0
phi3:latest,9,reasoning,TR,discrete_match,1,2,1.0
phi3:latest,10,reasoning,EN,discrete_match,1,2,1.0
phi3:latest,10,reasoning,DE,discrete_match,1,2,1.0
phi3:latest,10,reasoning,TR,discrete_match,1,2,0.0
phi3:latest,11,reasoning,EN,discrete_match,1,2,0.0
phi3:latest,11,reasoning,DE,discrete_match,1,2,1.0
phi3:latest,11,reasoning,TR,discrete_match,1,2,1.0
phi3:latest,12,reasoning,EN,discrete_match,1,2,1.0
phi3:latest,12,reasoning,DE,discrete_match,1,2,1.0
phi3:latest,12,reasoning,TR,discrete_match,1,2,1.0
phi3:latest,13,factual,EN,discrete_match,1,2,1.0
phi3:latest,13,factual,DE,discrete_match,1,2,1.0
phi3:latest,14,factual,EN,discrete_match,1,2,1.0
phi3:latest,14,factual,DE,discrete_match,1,2,1.0
phi3:latest,14,factual,TR,discrete_match,1,2,1.0
phi3:latest,15,factual,EN,discrete_match,1,2,1.0
phi3:latest,15,factual,DE,discrete_match,1,2,1.0
phi3:latest,16,factual,EN,discrete_match,1,2,1.0
phi3:latest,16,factual,DE,discrete_match,1,2,1.0
phi3:latest,16,factual,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,5,classification,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,5,classification,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,5,classification,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,6,classification,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,6,classification,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,6,classification,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,7,classification,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,7,classification,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,7,classification,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,8,classification,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,8,classification,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,8,classification,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,9,reasoning,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,9,reasoning,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,9,reasoning,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,10,reasoning,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,10,reasoning,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,10,reasoning,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,11,reasoning,EN,discrete_match,1,2,0.0
phi4-mini:3.8b,11,reasoning,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,11,reasoning,TR,discrete_match,1,2,0.0
phi4-mini:3.8b,12,reasoning,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,12,reasoning,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,12,reasoning,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,13,factual,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,13,factual,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,13,factual,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,14,factual,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,14,factual,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,14,factual,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,15,factual,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,15,factual,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,15,factual,TR,discrete_match,1,2,1.0
phi4-mini:3.8b,16,factual,EN,discrete_match,1,2,1.0
phi4-mini:3.8b,16,factual,DE,discrete_match,1,2,1.0
phi4-mini:3.8b,16,factual,TR,discrete_match,1,2,1.0
llama3.2:3b,5,classification,EN,discrete_match,1,2,1.0
llama3.2:3b,5,classification,DE,discrete_match,1,2,1.0
llama3.2:3b,5,classification,TR,discrete_match,1,2,1.0
llama3.2:3b,6,classification,EN,discrete_match,1,2,1.0
llama3.2:3b,6,classification,DE,discrete_match,1,2,1.0
llama3.2:3b,6,classification,TR,discrete_match,1,2,1.0
llama3.2:3b,7,classification,EN,discrete_match,1,2,1.0
llama3.2:3b,7,classification,DE,discrete_match,1,2,1.0
llama3.2:3b,7,classification,TR,discrete_match,1,2,1.0
llama3.2:3b,8,classification,EN,discrete_match,1,2,1.0
llama3.2:3b,8,classification,DE,discrete_match,1,2,0.0
llama3.2:3b,8,classification,TR,discrete_match,1,2,1.0
llama3.2:3b,9,reasoning,EN,discrete_match,1,2,1.0
llama3.2:3b,9,reasoning,DE,discrete_match,1,2,1.0
llama3.2:3b,9,reasoning,TR,discrete_match,1,2,1.0
llama3.2:3b,10,reasoning,EN,discrete_match,1,2,1.0
llama3.2:3b,10,reasoning,DE,discrete_match,1,2,1.0
llama3.2:3b,10,reasoning,TR,discrete_match,1,2,0.0
llama3.2:3b,11,reasoning,EN,discrete_match,1,2,1.0
llama3.2:3b,11,reasoning,DE,discrete_match,1,2,0.0
llama3.2:3b,11,reasoning,TR,discrete_match,1,2,1.0
llama3.2:3b,12,reasoning,EN,discrete_match,1,2,1.0
llama3.2:3b,12,reasoning,DE,discrete_match,1,2,0.0
llama3.2:3b,12,reasoning,TR,discrete_match,1,2,0.0
llama3.2:3b,13,factual,EN,discrete_match,1,2,1.0
llama3.2:3b,13,factual,DE,discrete_match,1,2,1.0
llama3.2:3b,13,factual,TR,discrete_match,1,2,1.0
llama3.2:3b,14,factual,EN,discrete_match,1,2,1.0
llama3.2:3b,14,factual,DE,discrete_match,1,2,1.0
llama3.2:3b,14,factual,TR,discrete_match,1,2,1.0
llama3.2:3b,15,factual,EN,discrete_match,1,2,1.0
llama3.2:3b,15,factual,DE,discrete_match,1,2,1.0
llama3.2:3b,15,factual,TR,discrete_match,1,2,1.0
llama3.2:3b,16,factual,EN,discrete_match,1,2,1.0
llama3.2:3b,16,factual,DE,discrete_match,1,2,1.0
llama3.2:3b,16,factual,TR,discrete_match,1,2,1.0
